director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,movie_id,comb
Jeremy Saulnier,Alia Shawkat,Mark Webber,Joe Cole,Crime Horror Music Thriller,green room,tt4062536,Alia Shawkat Mark Webber Joe Cole Jeremy Saulnier Crime Horror Music Thriller
Billy Kent,Liza Minnelli,Tim Russ,Winter Ave Zoli,Comedy Drama Romance,the oh in ohio,tt0422861,Liza Minnelli Tim Russ Winter Ave Zoli Billy Kent Comedy Drama Romance
James Manera,Joaquim de Almeida,Greg Germann,Kristoffer Polaha,Drama Mystery Sci-Fi,atlas shrugged: who is john galt?,tt2800038,Joaquim de Almeida Greg Germann Kristoffer Polaha James Manera Drama Mystery Sci-Fi
Wes Anderson,Andrew Wilson,Darryl Cox,Lumi Cavazos,Comedy Crime Drama,bottle rocket,tt0115734,Andrew Wilson Darryl Cox Lumi Cavazos Wes Anderson Comedy Crime Drama
Kevin Spacey,Viggo Mortensen,Joe Mantegna,Faye Dunaway,Crime Drama Thriller,albino alligator,tt0115495,Viggo Mortensen Joe Mantegna Faye Dunaway Kevin Spacey Crime Drama Thriller
Feroz Abbas Khan,Akshaye Khanna,Bhoomika Chawla,Darshan Jariwala,Biography Drama History,"gandhi, my father",tt0459293,Akshaye Khanna Bhoomika Chawla Darshan Jariwala Feroz Abbas Khan Biography Drama History
Errol Morris,Jeffrey Frost,Megan Ambuhl Graner,Ken Davis,Crime Documentary War,standard operating procedure,tt0896866,Jeffrey Frost Megan Ambuhl Graner Ken Davis Errol Morris Crime Documentary War
Eli Craig,Katrina Bowden,Tyler Labine,Chelan Simmons,Comedy Horror,tucker and dale vs evil,tt1465522,Katrina Bowden Tyler Labine Chelan Simmons Eli Craig Comedy Horror
Nicholas Fackler,Adam Scott,Ellen Burstyn,Martin Landau,Drama Romance,"lovely, still",tt1150947,Adam Scott Ellen Burstyn Martin Landau Nicholas Fackler Drama Romance
Richard Wallace,Judith Anderson,Paul Fix,Laraine Day,Adventure Drama Romance,tycoon,tt0039927,Judith Anderson Paul Fix Laraine Day Richard Wallace Adventure Drama Romance
Morgan J. Freeman,Ethan Suplee,John Heard,Sara Gilbert,Drama,desert blue,tt0126261,Ethan Suplee John Heard Sara Gilbert Morgan J. Freeman Drama
Matthew Hastings,Meghan Ory,Marc Trottier,Corey Sevier,Comedy Horror Sci-Fi,decoys,tt0357585,Meghan Ory Marc Trottier Corey Sevier Matthew Hastings Comedy Horror Sci-Fi
M. Night Shyamalan,Ocean James,Patch Darragh,Olivia DeJonge,Horror Thriller,the visit,tt3567288,Ocean James Patch Darragh Olivia DeJonge M. Night Shyamalan Horror Thriller
Brian De Palma,Mike Figueroa,Daniel Stewart Sherman,Kel O'Neill,Crime Thriller War,redacted,tt0937237,Mike Figueroa Daniel Stewart Sherman Kel O'Neill Brian De Palma Crime Thriller War
Klaus Menzel,Adam Garcia,Jacqueline Bisset,Alice Evans,Mystery Romance Thriller,fascination,tt0305632,Adam Garcia Jacqueline Bisset Alice Evans Klaus Menzel Mystery Romance Thriller
Oren Peli,Glenn Campbell,Sandra Staggs,Jelena Nik,Horror Sci-Fi Thriller,area 51,tt1519461,Glenn Campbell Sandra Staggs Jelena Nik Oren Peli Horror Sci-Fi Thriller
Jaume Balagueró,Luis Tosar,Tony Corvillo,Marta Etura,Drama Horror Thriller,sleep tight,tt1437358,Luis Tosar Tony Corvillo Marta Etura Jaume Balagueró Drama Horror Thriller
Paul Andrew Williams,Dave Legeno,Doug Bradley,Georgia Groome,Comedy Crime Horror Thriller,the cottage,tt0465430,Dave Legeno Doug Bradley Georgia Groome Paul Andrew Williams Comedy Crime Horror Thriller
Stephen Herek,Henry Ian Cusick,Callum Blue,Shenae Grimes-Beech,Comedy Drama Fantasy,dead like me: life after death,tt1079444,Henry Ian Cusick Callum Blue Shenae Grimes-Beech Stephen Herek Comedy Drama Fantasy
Bob Saget,Alyson Hannigan,John Stamos,Jim Belushi,Animation Comedy,farce of the penguins,tt0488539,Alyson Hannigan John Stamos Jim Belushi Bob Saget Animation Comedy
Jim Amatulli,Heather Locklear,Patricia Neal,Katie Leclerc,Drama Family Music,flying by,tt1131732,Heather Locklear Patricia Neal Katie Leclerc Jim Amatulli Drama Family Music
unknown,Corbin Bernsen,Dulé Hill,Timothy Omundson,Comedy Crime Mystery,psych,tt0491738,Corbin Bernsen Dulé Hill Timothy Omundson unknown Comedy Crime Mystery
William H. Macy,Billy Crudup,Felicity Huffman,David Adam Flannery,Comedy Drama Music,rudderless,tt1798243,Billy Crudup Felicity Huffman David Adam Flannery William H. Macy Comedy Drama Music
Barrett Esposito,Chazz Palminteri,Cyndi Lauper,Danny Aiello,Animation Family,henry & me,tt1460798,Chazz Palminteri Cyndi Lauper Danny Aiello Barrett Esposito Animation Family
Mitch Davis,Gary Cole,Jon Heder,Cheryl Hines,Comedy,christmas eve,tt3703148,Gary Cole Jon Heder Cheryl Hines Mitch Davis Comedy
Eric Bross,Teri Polo,Esai Morales,Nicholas Gonzalez,Crime Drama Thriller,we have your husband,tt2063015,Teri Polo Esai Morales Nicholas Gonzalez Eric Bross Crime Drama Thriller
Paul Schrader,Nicolas Cage,Irène Jacob,Tomiwa Edun,Drama Thriller,dying of the light,tt1274586,Nicolas Cage Irène Jacob Tomiwa Edun Paul Schrader Drama Thriller
Vicky Jewson,James Frain,Sofia Black-D'Elia,Lisa Kay,Action Drama Thriller War,born of war,tt1554921,James Frain Sofia Black-D'Elia Lisa Kay Vicky Jewson Action Drama Thriller War
Peter Hyams,David Huddleston,Sam Waterston,Hal Holbrook,Action Sci-Fi Thriller,capricorn one,tt0077294,David Huddleston Sam Waterston Hal Holbrook Peter Hyams Action Sci-Fi Thriller
Marc Bennett,Michael Rapaport,Natasha Henstridge,Costas Mandylor,Comedy Drama,should've been romeo,tt1717210,Michael Rapaport Natasha Henstridge Costas Mandylor Marc Bennett Comedy Drama
Mike Mayhall,David Raizor,Cody Howard,Martin Kove,Family,running forever,tt4453560,David Raizor Cody Howard Martin Kove Mike Mayhall Family
Kevin Smith,Johnny Depp,Haley Joel Osment,Natasha Lyonne,Comedy Fantasy Horror Thriller,yoga hosers,tt3838992,Johnny Depp Haley Joel Osment Natasha Lyonne Kevin Smith Comedy Fantasy Horror Thriller
Stanton Barrett,Mikal Vega,Michael Dudikoff,Ed Quinn,Action Horror,navy seals vs. zombies,tt4511566,Mikal Vega Michael Dudikoff Ed Quinn Stanton Barrett Action Horror
Jirí Menzel,Julia Jentsch,Ivan Barnev,Milan Lasica,Comedy Drama Romance War,i served the king of england,tt0284363,Julia Jentsch Ivan Barnev Milan Lasica Jirí Menzel Comedy Drama Romance War
Fatih Akin,Udo Kier,Moritz Bleibtreu,Birol Ünel,Comedy Drama,soul kitchen,tt1244668,Udo Kier Moritz Bleibtreu Birol Ünel Fatih Akin Comedy Drama
Billy Bob Thornton,Robert Duvall,Dwight Yoakam,J.T. Walsh,Drama,sling blade,tt0117666,Robert Duvall Dwight Yoakam J.T. Walsh Billy Bob Thornton Drama
Nick Murphy,Isaac Hempstead Wright,Imelda Staunton,Joseph Mawle,Horror Thriller,the awakening,tt1687901,Isaac Hempstead Wright Imelda Staunton Joseph Mawle Nick Murphy Horror Thriller
Eli Roth,Jay Hernandez,Takashi Miike,Rick Hoffman,Horror,hostel,tt0450278,Jay Hernandez Takashi Miike Rick Hoffman Eli Roth Horror
Michael Winterbottom,Steve Coogan,Shirley Henderson,Dylan Moran,Comedy Drama,tristram shandy: a cock and bull story,tt0423409,Steve Coogan Shirley Henderson Dylan Moran Michael Winterbottom Comedy Drama
Jeff Nichols,Katy Mixon,Shea Whigham,Robert Longstreet,Drama Thriller,take shelter,tt1675192,Katy Mixon Shea Whigham Robert Longstreet Jeff Nichols Drama Thriller
Frank LaLoggia,Alex Rocco,Lukas Haas,Katherine Helmond,Fantasy Horror Mystery Thriller,lady in white,tt0095484,Alex Rocco Lukas Haas Katherine Helmond Frank LaLoggia Fantasy Horror Mystery Thriller
Jeremy Brock,Rupert Grint,Julie Walters,Tamsin Egerton,Comedy Drama,driving lessons,tt0446687,Rupert Grint Julie Walters Tamsin Egerton Jeremy Brock Comedy Drama
Scott Foley,Donald Faison,Greg Grunberg,Dagmara Dominczyk,Comedy Crime,let's kill ward's wife,tt2980708,Donald Faison Greg Grunberg Dagmara Dominczyk Scott Foley Comedy Crime
Tobe Hooper,Bill Johnson,Lou Perryman,Jim Siedow,Comedy Horror,the texas chainsaw massacre 2,tt0092076,Bill Johnson Lou Perryman Jim Siedow Tobe Hooper Comedy Horror
Sam Peckinpah,James Coburn,Bob Dylan,Jason Robards,Biography Drama Romance Western,pat garrett & billy the kid,tt0070518,James Coburn Bob Dylan Jason Robards Sam Peckinpah Biography Drama Romance Western
Nicolas Winding Refn,Ryan Gosling,Kristin Scott Thomas,Yayaying Rhatha Phongam,Crime Drama,only god forgives,tt1602613,Ryan Gosling Kristin Scott Thomas Yayaying Rhatha Phongam Nicolas Winding Refn Crime Drama
Christophe Ali,Denis Lavant,Isild Le Besco,Emmanuelle Bercot,Drama,camping sauvage,tt0451673,Denis Lavant Isild Le Besco Emmanuelle Bercot Christophe Ali Drama
Gabriela Tagliavini,Maria Conchita Alonso,Kate del Castillo,Camryn Manheim,Comedy,without men,tt1547090,Maria Conchita Alonso Kate del Castillo Camryn Manheim Gabriela Tagliavini Comedy
Shekar,Bhama,Diganth,Dileep Raj,Comedy Romance,barfi,tt3099638,Bhama Diganth Dileep Raj Shekar Comedy Romance
Shona Auerbach,Gerard Butler,Sharon Small,Jack McElhone,Drama Romance,dear frankie,tt0377752,Gerard Butler Sharon Small Jack McElhone Shona Auerbach Drama Romance
Leonard Farlinger,Keith Carradine,Gary Farmer,Stephen McHattie,Western,all hat,tt0903131,Keith Carradine Gary Farmer Stephen McHattie Leonard Farlinger Western
Michel Leclerc,Sara Forestier,Jacques Gamblin,Zinedine Soualem,Comedy Drama Romance,the names of love,tt1646974,Sara Forestier Jacques Gamblin Zinedine Soualem Michel Leclerc Comedy Drama Romance
Analeine Cal y Mayor,Zoë Kravitz,Douglas Smith,Kim Ly,Comedy Drama,treading water,tt2091427,Zoë Kravitz Douglas Smith Kim Ly Analeine Cal y Mayor Comedy Drama
Tom Kalin,Eddie Redmayne,Elena Anaya,Stephen Dillane,Drama,savage grace,tt0379976,Eddie Redmayne Elena Anaya Stephen Dillane Tom Kalin Drama
Robert Sarkies,William Kircher,Matthew Sunderland,Paul Glover,Crime Drama,out of the blue,tt0839938,William Kircher Matthew Sunderland Paul Glover Robert Sarkies Crime Drama
Hugh Wilson,Steve Guttenberg,Bubba Smith,Michael Winslow,Comedy,police academy,tt0087928,Steve Guttenberg Bubba Smith Michael Winslow Hugh Wilson Comedy
Randal Kleiser,Brooke Shields,Christopher Atkins,Leo McKern,Adventure Drama Romance,the blue lagoon,tt0080453,Brooke Shields Christopher Atkins Leo McKern Randal Kleiser Adventure Drama Romance
Mike Newell,Kristin Scott Thomas,James Fleet,Simon Callow,Comedy Drama Romance,four weddings and a funeral,tt0109831,Kristin Scott Thomas James Fleet Simon Callow Mike Newell Comedy Drama Romance
Amy Heckerling,Jennifer Jason Leigh,Judge Reinhold,Vincent Schiavelli,Comedy Drama,fast times at ridgemont high,tt0083929,Jennifer Jason Leigh Judge Reinhold Vincent Schiavelli Amy Heckerling Comedy Drama
John Huston,Royal Dano,Richard Basehart,James Robertson Justice,Adventure Drama,moby dick,tt0049513,Royal Dano Richard Basehart James Robertson Justice John Huston Adventure Drama
Spike Lee,Philip Seymour Hoffman,Rosario Dawson,Aaron Stanford,Drama,25th hour,tt0307901,Philip Seymour Hoffman Rosario Dawson Aaron Stanford Spike Lee Drama
unknown,Dan Fogler,Indiana Evans,KaDee Strickland,Crime Drama,secrets and lies,tt3516878,Dan Fogler Indiana Evans KaDee Strickland unknown Crime Drama
Lana Wachowski,Christopher Meloni,Kevin Michael Richardson,Peter Spellos,Crime Drama Romance Thriller,bound,tt0115736,Christopher Meloni Kevin Michael Richardson Peter Spellos Lana Wachowski Crime Drama Romance Thriller
Darren Aronofsky,Ellen Burstyn,Mark Margolis,Louise Lasser,Drama,requiem for a dream,tt0180093,Ellen Burstyn Mark Margolis Louise Lasser Darren Aronofsky Drama
Walter Lang,Dana Andrews,Jeanne Crain,Frank McHugh,Musical Romance,state fair,tt0038116,Dana Andrews Jeanne Crain Frank McHugh Walter Lang Musical Romance
Carlos Saura,Mía Maestro,Juan Luis Galiardo,Miguel Ángel Solá,Drama Musical,tango,tt0120274,Mía Maestro Juan Luis Galiardo Miguel Ángel Solá Carlos Saura Drama Musical
Oliver Stone,Jim Belushi,John Savage,Juan Fernández,Drama History Thriller War,salvador,tt0091886,Jim Belushi John Savage Juan Fernández Oliver Stone Drama History Thriller War
Andrew Erwin,Alex Kendrick,Sarah Drew,Patricia Heaton,Comedy,moms' night out,tt3014666,Alex Kendrick Sarah Drew Patricia Heaton Andrew Erwin Comedy
Richard Kelly,Jake Gyllenhaal,Mary McDonnell,James Duval,Drama Sci-Fi Thriller,donnie darko,tt0246578,Jake Gyllenhaal Mary McDonnell James Duval Richard Kelly Drama Sci-Fi Thriller
Beto Gómez,Jaime Camil,Gerardo Taracena,Joaquín Cosio,Adventure Comedy Western,saving private perez,tt0461336,Jaime Camil Gerardo Taracena Joaquín Cosio Beto Gómez Adventure Comedy Western
Mike van Diem,Jan Decleir,Fedja van Huêt,Hans Kesting,Crime Drama Mystery,character,tt0119448,Jan Decleir Fedja van Huêt Hans Kesting Mike van Diem Crime Drama Mystery
Jonas Åkerlund,Patrick Fugit,Nicholas Gonzalez,Debbie Harry,Comedy Crime Drama,spun,tt0283003,Patrick Fugit Nicholas Gonzalez Debbie Harry Jonas Åkerlund Comedy Crime Drama
Todd Solondz,Rich Pecci,Shirley Henderson,Charlotte Rampling,Comedy Drama,life during wartime,tt0808526,Rich Pecci Shirley Henderson Charlotte Rampling Todd Solondz Comedy Drama
Chan-wook Park,Min-sik Choi,Yeong-ae Lee,Hye-jeong Kang,Crime Drama,lady vengeance,tt0451094,Min-sik Choi Yeong-ae Lee Hye-jeong Kang Chan-wook Park Crime Drama
René Féret,Nicolas Giraud,Clovis Fouin,Marie Féret,Biography Drama Music Romance,mozart's sister,tt1653911,Nicolas Giraud Clovis Fouin Marie Féret René Féret Biography Drama Music Romance
Barry Skolnick,Jason Statham,Jason Flemyng,Danny Dyer,Comedy Drama Sport,mean machine,tt0291341,Jason Statham Jason Flemyng Danny Dyer Barry Skolnick Comedy Drama Sport
Johnnie To,Simon Yam,Anthony Chau-Sang Wong,Josie Ho,Action Crime Thriller,exiled,tt0796212,Simon Yam Anthony Chau-Sang Wong Josie Ho Johnnie To Action Crime Thriller
Mateo Gil,Sam Shepard,Dominique McElligott,Stephen Rea,Action Adventure Western,blackthorn,tt1629705,Sam Shepard Dominique McElligott Stephen Rea Mateo Gil Action Adventure Western
Lukas Moodysson,Oksana Akinshina,Artyom Bogucharskiy,Lyubov Agapova,Crime Drama,lilya 4-ever,tt0300140,Oksana Akinshina Artyom Bogucharskiy Lyubov Agapova Lukas Moodysson Crime Drama
Agnieszka Wojtowicz-Vosloo,Liam Neeson,Josh Charles,Chandler Canterbury,Drama Horror Mystery Thriller,after.life,tt0838247,Liam Neeson Josh Charles Chandler Canterbury Agnieszka Wojtowicz-Vosloo Drama Horror Mystery Thriller
Kabir Sadanand,Jimmy Shergill,Sana Saeed,Dimple Kapadia,Drama Thriller,fugly,tt3683702,Jimmy Shergill Sana Saeed Dimple Kapadia Kabir Sadanand Drama Thriller
Milos Forman,Scatman Crothers,Michael Berryman,Louise Fletcher,Drama,one flew over the cuckoo's nest,tt0073486,Scatman Crothers Michael Berryman Louise Fletcher Milos Forman Drama
Peter DeLuise,Katherine McNamara,Dove Cameron,Braeden Lemasters,Comedy,r.l. stine's monsterville: the cabinet of souls,tt4386242,Katherine McNamara Dove Cameron Braeden Lemasters Peter DeLuise Comedy
Mel Brooks,Sid Caesar,Dom DeLuise,Bernadette Peters,Comedy Romance,silent movie,tt0075222,Sid Caesar Dom DeLuise Bernadette Peters Mel Brooks Comedy Romance
Raja Menon,Nimrat Kaur,Sameer Ali Khan,Purab Kohli,Action Drama History Thriller War,airlift,tt4387040,Nimrat Kaur Sameer Ali Khan Purab Kohli Raja Menon Action Drama History Thriller War
unknown,Zack Ward,Jonathan Crombie,Megan Follows,Drama Family,anne of green gables,tt0088727,Zack Ward Jonathan Crombie Megan Follows unknown Drama Family
Ernie Barbarash,Michael Jai White,Michael J. Morris,Lateef Crowder,Action Adventure,falcon rising,tt2295722,Michael Jai White Michael J. Morris Lateef Crowder Ernie Barbarash Action Adventure
Nick Love,Hayley Atwell,Ray Winstone,Alan Ford,Action Crime Drama,the sweeney,tt0857190,Hayley Atwell Ray Winstone Alan Ford Nick Love Action Crime Drama
Jonathan Glazer,Ray Winstone,James Fox,Amanda Redman,Crime Thriller,sexy beast,tt0203119,Ray Winstone James Fox Amanda Redman Jonathan Glazer Crime Thriller
Daniel Espinosa,Fabian Bolin,Fares Fares,Matias Varela,Action Crime Drama Thriller,easy money,tt1291652,Fabian Bolin Fares Fares Matias Varela Daniel Espinosa Action Crime Drama Thriller
Niki Caro,Keisha Castle-Hughes,Rawiri Paratene,Tammy Davis,Drama Family,whale rider,tt0298228,Keisha Castle-Hughes Rawiri Paratene Tammy Davis Niki Caro Drama Family
R. Balki,Vidya Balan,Abhishek Bachchan,Paresh Rawal,Comedy Drama,paa,tt1532957,Vidya Balan Abhishek Bachchan Paresh Rawal R. Balki Comedy Drama
Ivan Engler,Yangzom Brauen,Claude-Oliver Rudolph,Anna Katharina Schwabroh,Mystery Sci-Fi Thriller,cargo,tt0381940,Yangzom Brauen Claude-Oliver Rudolph Anna Katharina Schwabroh Ivan Engler Mystery Sci-Fi Thriller
Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,Adventure Family Fantasy,pan,tt3332064,Hugh Jackman Cara Delevingne Nonso Anozie Joe Wright Adventure Family Fantasy
Kenny Ortega,Lucas Grabeel,Corbin Bleu,Olesya Rulin,Comedy Drama Family Music Musical Romance,high school musical,tt0475293,Lucas Grabeel Corbin Bleu Olesya Rulin Kenny Ortega Comedy Drama Family Music Musical Romance
unknown,Dorian Missick,Daniella Alonso,Ellen Barkin,Crime Drama,animal kingdom,tt5574490,Dorian Missick Daniella Alonso Ellen Barkin unknown Crime Drama
Richard Kwietniowski,Jason Priestley,Maury Chaykin,Danny Webb,Comedy Drama,love and death on long island,tt0119574,Jason Priestley Maury Chaykin Danny Webb Richard Kwietniowski Comedy Drama
Timur Bekmambetov,Konstantin Khabenskiy,Aleksey Chadov,Zhanna Friske,Fantasy Thriller,night watch,tt0403358,Konstantin Khabenskiy Aleksey Chadov Zhanna Friske Timur Bekmambetov Fantasy Thriller
Neil Jordan,Jim Broadbent,Miranda Richardson,Stephen Rea,Crime Drama Romance Thriller,the crying game,tt0104036,Jim Broadbent Miranda Richardson Stephen Rea Neil Jordan Crime Drama Romance Thriller
Bob Clark,Art Hindle,Susan Clark,Tony Ganios,Comedy,porky's,tt0084522,Art Hindle Susan Clark Tony Ganios Bob Clark Comedy
George A. Romero,Julian Richings,Shawn Roberts,Kathleen Munroe,Horror,survival of the dead,tt1134854,Julian Richings Shawn Roberts Kathleen Munroe George A. Romero Horror
Sofia Coppola,Scarlett Johansson,Bill Murray,Catherine Lambert,Drama,lost in translation,tt0335266,Scarlett Johansson Bill Murray Catherine Lambert Sofia Coppola Drama
Woody Allen,Woody Allen,Carol Kane,Shelley Duvall,Comedy Romance,annie hall,tt0075686,Woody Allen Carol Kane Shelley Duvall Woody Allen Comedy Romance
Cecil B. DeMille,Gloria Grahame,Dorothy Lamour,Cornel Wilde,Drama Family Romance,the greatest show on earth,tt0044672,Gloria Grahame Dorothy Lamour Cornel Wilde Cecil B. DeMille Drama Family Romance
Ridley Scott,Christian Bale,María Valverde,Ben Mendelsohn,Action Adventure Drama,exodus: gods and kings,tt1528100,Christian Bale María Valverde Ben Mendelsohn Ridley Scott Action Adventure Drama
Marc Forster,Heath Ledger,Peter Boyle,Marcus Lyle Brown,Drama Romance,monster's ball,tt0285742,Heath Ledger Peter Boyle Marcus Lyle Brown Marc Forster Drama Romance
Henry Hobson,Joely Richardson,J.D. Evermore,David A Cole,Drama Horror,maggie,tt1881002,Joely Richardson J.D. Evermore David A Cole Henry Hobson Drama Horror
Mike Figgis,Nicolas Cage,Valeria Golino,Julian Sands,Drama Romance,leaving las vegas,tt0113627,Nicolas Cage Valeria Golino Julian Sands Mike Figgis Drama Romance
Duane Journey,Molly C. Quinn,Lara Flynn Boyle,Lochlyn Munro,Comedy Horror,hansel & gretel get baked,tt2081194,Molly C. Quinn Lara Flynn Boyle Lochlyn Munro Duane Journey Comedy Horror
Dan O'Bannon,Linnea Quigley,Clu Gulager,Beverly Randolph,Comedy Horror Sci-Fi,the return of the living dead,tt0089907,Linnea Quigley Clu Gulager Beverly Randolph Dan O'Bannon Comedy Horror Sci-Fi
Billy Wilder,Austin Pendleton,Harold Gould,David Wayne,Comedy Drama Romance,the front page,tt0071524,Austin Pendleton Harold Gould David Wayne Billy Wilder Comedy Drama Romance
Rob Cohen,Ryan Guzman,Hill Harper,Adam Hicks,Mystery Thriller,the boy next door,tt3181822,Ryan Guzman Hill Harper Adam Hicks Rob Cohen Mystery Thriller
Carol Reed,Gina Lollobrigida,Katy Jurado,Sidney James,Drama Romance,trapeze,tt0049875,Gina Lollobrigida Katy Jurado Sidney James Carol Reed Drama Romance
unknown,Holly Hunter,Dylan Minnette,Bokeem Woodbine,Drama Fantasy,saving grace,tt0830900,Holly Hunter Dylan Minnette Bokeem Woodbine unknown Drama Fantasy
Lisa Cholodenko,Josh Hutcherson,Mia Wasikowska,Yaya DaCosta,Comedy Drama,the kids are all right,tt0842926,Josh Hutcherson Mia Wasikowska Yaya DaCosta Lisa Cholodenko Comedy Drama
John Carpenter,Meg Foster,Peter Jason,George 'Buck' Flower,Horror Sci-Fi Thriller,they live,tt0096256,Meg Foster Peter Jason George 'Buck' Flower John Carpenter Horror Sci-Fi Thriller
John Sturges,James Coburn,Donald Pleasence,Gordon Jackson,Adventure Drama History Thriller War,the great escape,tt0057115,James Coburn Donald Pleasence Gordon Jackson John Sturges Adventure Drama History Thriller War
William Arntz,Marlee Matlin,Elaine Hendrix,Armin Shimerman,Comedy Documentary Drama Fantasy Mystery Sci-Fi,what the #$*! do we (k)now!?,tt0399877,Marlee Matlin Elaine Hendrix Armin Shimerman William Arntz Comedy Documentary Drama Fantasy Mystery Sci-Fi
Ed Gass-Donnelly,Muse Watson,Spencer Treat Clark,Ashley Bell,Drama Horror Thriller,the last exorcism part ii,tt2034139,Muse Watson Spencer Treat Clark Ashley Bell Ed Gass-Donnelly Drama Horror Thriller
Richard Linklater,Ellar Coltrane,Lorelei Linklater,Libby Villari,Drama,boyhood,tt1065073,Ellar Coltrane Lorelei Linklater Libby Villari Richard Linklater Drama
Woody Allen,Scarlett Johansson,Kevin McNally,Geoff Bell,Comedy Crime Mystery,scoop,tt0457513,Scarlett Johansson Kevin McNally Geoff Bell Woody Allen Comedy Crime Mystery
Tim Burton,Cary-Hiroyuki Tagawa,Estella Warren,Erick Avari,Action Adventure Sci-Fi Thriller,planet of the apes,tt0133152,Cary-Hiroyuki Tagawa Estella Warren Erick Avari Tim Burton Action Adventure Sci-Fi Thriller
DJ Pooh,Angell Conwell,Dr. Dre,DJ Pooh,Comedy,the wash,tt0290332,Angell Conwell Dr. Dre DJ Pooh DJ Pooh Comedy
DJ Pooh,Mo'Nique,Mike Epps,Faizon Love,Comedy,3 strikes,tt0199290,Mo'Nique Mike Epps Faizon Love DJ Pooh Comedy
Wayne Kramer,Estella Warren,Paul Sorvino,Shawn Hatosy,Crime Drama Fantasy Romance,the cooler,tt0318374,Estella Warren Paul Sorvino Shawn Hatosy Wayne Kramer Crime Drama Fantasy Romance
John Huston,Montgomery Clift,Kevin McCarthy,Thelma Ritter,Drama Romance Western,the misfits,tt0055184,Montgomery Clift Kevin McCarthy Thelma Ritter John Huston Drama Romance Western
Patrick Stettner,Robin Williams,Joe Morton,Rory Culkin,Crime Mystery Thriller,the night listener,tt0448075,Robin Williams Joe Morton Rory Culkin Patrick Stettner Crime Mystery Thriller
James Melkonian,Vincent Pastore,William Hickey,Peter Appel,Comedy Crime,the jerky boys,tt0110189,Vincent Pastore William Hickey Peter Appel James Melkonian Comedy Crime
Wes Craven,Frank Grillo,Emily Meade,Zena Grey,Horror Mystery Thriller,my soul to take,tt0872230,Frank Grillo Emily Meade Zena Grey Wes Craven Horror Mystery Thriller
J.A. Bayona,Geraldine Chaplin,Belén Rueda,Fernando Cayo,Drama Mystery Thriller,the orphanage,tt0464141,Geraldine Chaplin Belén Rueda Fernando Cayo J.A. Bayona Drama Mystery Thriller
Michael Tiddes,Ashley Rickards,Essence Atkins,Gabriel Iglesias,Comedy Fantasy,a haunted house 2,tt2828996,Ashley Rickards Essence Atkins Gabriel Iglesias Michael Tiddes Comedy Fantasy
Roger Avary,Ian Somerhalder,Faye Dunaway,Clifton Collins Jr.,Comedy Drama Romance,the rules of attraction,tt0292644,Ian Somerhalder Faye Dunaway Clifton Collins Jr. Roger Avary Comedy Drama Romance
Alfred Hitchcock,Roscoe Lee Browne,John Vernon,Philippe Noiret,Drama Thriller,topaz,tt0065112,Roscoe Lee Browne John Vernon Philippe Noiret Alfred Hitchcock Drama Thriller
Bob Odenkirk,Dylan Baker,Chi McBride,Amy Hill,Comedy Crime,let's go to prison,tt0454987,Dylan Baker Chi McBride Amy Hill Bob Odenkirk Comedy Crime
Allison Anders,Salma Hayek,Alicia Witt,Lili Taylor,Comedy Fantasy,four rooms,tt0113101,Salma Hayek Alicia Witt Lili Taylor Allison Anders Comedy Fantasy
Steven Shainberg,Jeremy Davies,Stephen McHattie,Lesley Ann Warren,Comedy Drama Romance,secretary,tt0274812,Jeremy Davies Stephen McHattie Lesley Ann Warren Steven Shainberg Comedy Drama Romance
Rick de Oliveira,Laura Ramsey,Alan Taylor,Benjamin Fletcher,Documentary,the real cancun,tt0360916,Laura Ramsey Alan Taylor Benjamin Fletcher Rick de Oliveira Documentary
Oliver Stone,Michael Wincott,Zach Grenier,Bill Johnson,Drama,talk radio,tt0096219,Michael Wincott Zach Grenier Bill Johnson Oliver Stone Drama
Christopher Guest,Catherine O'Hara,Fred Willard,Larry Miller,Comedy,waiting for guffman,tt0118111,Catherine O'Hara Fred Willard Larry Miller Christopher Guest Comedy
Jeff Franklin,Ivana Milicevic,Tyra Banks,Bridgette Wilson-Sampras,Comedy,love stinks,tt0188863,Ivana Milicevic Tyra Banks Bridgette Wilson-Sampras Jeff Franklin Comedy
John Dahl,Philip Baker Hall,Aaron Hughes,Jayne Eastwood,Comedy Crime Romance Thriller,you kill me,tt0796375,Philip Baker Hall Aaron Hughes Jayne Eastwood John Dahl Comedy Crime Romance Thriller
Mike Mills,Kelli Garner,Lou Taylor Pucci,Nancy O'Dell,Comedy Drama,thumbsucker,tt0318761,Kelli Garner Lou Taylor Pucci Nancy O'Dell Mike Mills Comedy Drama
Kevin Smith,Anna Gunn,Michael Angarano,Stephen Root,Action Crime Horror Thriller,red state,tt0873886,Anna Gunn Michael Angarano Stephen Root Kevin Smith Action Crime Horror Thriller
Dave McKean,Stephanie Leonidas,Gina McKee,Rob Brydon,Adventure Fantasy,mirrormask,tt0366780,Stephanie Leonidas Gina McKee Rob Brydon Dave McKean Adventure Fantasy
